0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;
;1;CONTROL;3;4;5;6;7;8;9;10;11;12;01.01.01;02.02.02;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;45
304446;KOPIEN;1;2;;;;;;;;;;;LIEFERSCHEIN;LIEFERSCHEIN;LIEFERSCHEIN KOPIE;;;;;;;;;;;;;45;
304446;KOPF_POSUEB;;;;;;;;;;;;08.03.19;Pos.;Produkt-Nr/Bezeichnung;Bestellmenge;Liefermenge;Restmenge;ME;Auftrags-Datum;;;Datum     ____________  Empfangsbest�tigung: _________________________;;;;;0721/62 05-37;45;
304446;KOPF_ANS;;;;;;;;;;;;;;;;;;VERSAND;Im Auftrag von;Winkler & D�nnebier GmbH;Sohler Weg 65;56564 Neuwied;;;;;;45;
304446;KOPF_USTID;;;;;;;;;;;;;Ihre Ust-IdNr;                ;Unsere Ust-IdNr;DE815609203     ;;;;;;;;;;;;45;
304446;KOPF;;;;;;;;;;;06.08.19;;Datum;Vertreter;--                              ;Lieferschein;105829;Kunden-Nr;12303;Winkler & D�nnebier GmbH;Sohler Weg 65;56564 Neuwied;;;;;;45;
304446;KOPF_TEXTF;1;;;;;;;;;;;;tSie erhielten f�r Ihre Rechnung und Gefahr die unten                  ;;;;;;;;;;;;;;;45;
304446;KOPF_TEXTF;2;;;;;;;;;;;;taufgef�hrten Waren.                                                   ;;;;;;;;;;;;;;;45;
304446;KOPF_TEXTF;3;;;;;;;;;;;;tWir w�nschen Ihnen guten Empfang der Sendung.                         ;;;;;;;;;;;;;;;45;
304446;KOPF_DATEN;;;;;;;;;;;08.03.19;08.03.19;Auftrags-Nr;Ihre Bestell-Nr;45629480;Bestell-Datum;LIEFERSCHEIN;Herr Porath       ;0721/62 05-37       ;Nicole Naiel      ;Lief.-Nr. 1388    ;                  ;D;naiel1;Zentrale;        ;190165;45;
304446;KOPF_DATEN2;;;;;;;;;;;;;;;;;;LieferantNr;1388;  ;56564 Neuwied;;;;;;;45;
304446;KONTAKT;;;;;;;;;;;;;0721/6236083;nicole.naiel@zzdrivetech.com;0721/6236083;0721/6205-37;nicole.naiel@zzdrivetech.com; Nicole Naiel;;;; ;02631/84-581;02631/84-0;;;;45;
304446;POS;1;2;2;;70;70;;;;;;19.07.19;Ihre Produkt-Nr:;K2.077.57;K0033-41;KEGELRADGETRIEBE    ;K2.077.57      1:1  ;ST;Termin: ;;;;;Versandgewicht      ;netto;brutto;29/19;45;
304446;POS2;1;;;;;;;;;;;;�nderungsindex      ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;1;1;;;;;;;;;;;tKundenreferenz:       Zeichnung K2_077_57_00 vom 07.05.93             ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;2;1;;;;;;;;;;;t�bersetzung:          1:1                                             ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;3;1;;;;;;;;;;;tAusf�hrung:           311/1  (wahlweise 311/2)                        ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;4;1;;;;;;;;;;;tMontagebauform:       K01 (2-B)                                       ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;5;1;;;;;;;;;;;tAntriebsdrehzahl n1:  125-2000U/min                                   ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;6;1;;;;;;;;;;;tAntriebsleistung P1:  0                                                                                                                                                                                             ,75-9kW                                        ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;7;1;;;;;;;;;;;tEinschaltdauer ED:    100%                                            ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;8;1;;;;;;;;;;;tVerzahnungsart:       HPGS Pr�zisionsverzahnung                       ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;9;1;;;;;;;;;;;tVerdrehflankenspiel:  eingeengt                                                                                                                                                                                     ,0                                                                                   ,10...0,14mm/R100                   ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;10;1;;;;;;;;;;;t                                 (ca. 3                                                                                                                                                                            ,4...4.8 arcmin)               ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;11;1;;;;;;;;;;;tWellenrundlauf:       <0                                                                                                                                                                                           ,04                                           ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;12;1;;;;;;;;;;;tWellendichtringe:     Standard NBR                                                                                                                                                                                 ,Viton                             ;;;;;;;;;;;;;;;45;
304446;POS_TEXTP;13;1;;;;;;;;;;;tEntl�ftung:           nicht montiert                                                                                                                                                                               ,beigelegt                       ;;;;;;;;;;;;;;;45;
