0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;CONTROL;3;4;5;6;7;8;9;10;11;12;01.01.01;02.02.02;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;23
-149587;KOPIEN;1;0;;;;;;;;0;;;BESTELLUNG;;;;;;;;;;;0;customerorders@ompsrl.eu;;;23
-149587;KOPF_USTID;;;;;;;;;;;;;Ihre Ust-Identnr;                ;Unsere Ust-Identnr;DE815609203     ;;;;;;;;;;;;23
-149587;KOPF;;;;;;;;;;;;01.08.19;Datum;Bestellung;108142;;;;;OMP;Via Di Pietro Adalgiso 1;66100 Chieti;Italien;;;;;23
-149587;KOPF_DATEN;;;;;;;;;;;;        ;Angebots-Nr;                  ;KundenNr/Ihre Zeichen ;                    ;                  ;;Lieferant;63166;Unser Zeichen / Telefon;Klaus Korte                     ;0721 6205-51        ;D;korte;;;23
-149587;KONTAKT;;;;;;;;;;;;;Fax:0721 6205-10;klaus.korte@zzdrivetech.com;Fax:0721 6205-10;0721 6205-51;klaus.korte@zzdrivetech.com;Klaus Korte;Fax:0721 6205-10;0721 6205-51;klaus.korte@zzdrivetech.com;Klaus Korte;"3,90872E+11";"3,90872E+11";;;;23
-149587;KOPF_TEXTF;1;;;;;;;;;;;;tIn allen Schriftstcken bitte unsere Bestell-Daten                    ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTF;2;;;;;;;;;;;;"tangeben, Rechnung + Lieferschein zweifach.                            ";;;;;;;;;;;;;;;23
-149587;KOPF_TEXTF;3;;;;;;;;;;;;tZu unseren Einkaufsbedingungen bestellen wir:                         ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;1;;;;;;;;;;;;t*******************************************************               ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;2;;;;;;;;;;;;"tBitte beachten Sie, bei der Fertigung von kompletten                  ";;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;3;;;;;;;;;;;;tZeichnungsteilen gehrt zum Mindestlieferumfang:                      ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;4;;;;;;;;;;;;t- Kennzeichnung mit Zeichnungsnummer                                  ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;5;;;;;;;;;;;;t- Kennzeichnung mit Bestellnummer                                     ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;6;;;;;;;;;;;;t- Prfprotokoll Stichprobe der Pamae (Eintrag der                   ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;7;;;;;;;;;;;;t  gemessenen Werte auf die Zeichnung ist mit                          ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;8;;;;;;;;;;;;t  Unterschrift ausreichend).                                          ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;9;;;;;;;;;;;;tSollten im Positionstext oder auf der Zeichnung hhere                ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;10;;;;;;;;;;;;tAnforderungen genannt werden haben dies Gltigkeit.                   ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;11;;;;;;;;;;;;tFalls einzelne Punkte nicht erfllt werden knnen ist                 ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;12;;;;;;;;;;;;tdies mit dem zustndigen Einkufer abzustimmen und                    ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;13;;;;;;;;;;;;tzustzlich auf dem Lieferschein zu vermerken.                         ;;;;;;;;;;;;;;;23
-149587;KOPF_TEXTK;14;;;;;;;;;;;;t*******************************************************               ;;;;;;;;;;;;;;;23
-149587;KOPF_POSUEB;;;;;;;;;;;;;Pos  ;Artikel-Nr/Bezeichnung;Menge;ME;Einzelpreis;PE;Gesamt;EUR ;;;;;;;;23
-149587;POS;1;4;440;1760;1760;;;0;;;;30.08.19;Ihre Artikel-Nr:;                        ;922;Drehen              ;                    ;ST;;Termin:        ;Kommission:    ;190395;;;;;30.08.19;23
-149587;POS2;1;;;;;;;;;;;;Kostenstelle:;;Kontierungsgruppe:;590;Werkstoff:;;Zeichn.-Nr.:;;MOD/DIN:;;Abmessung:;;I:;;;23
-149587;POS 3;1;;;;;;;;;;;;I:                 ;2;Lohnschein          ;21101902;Zeichn-Nr           ;X330-3122           ;X330-3122       ;Bezeichnung         ;ANTRIEBSWELLE       ;;;;;;;23
-149587;POS_TEXTP;1;1;;;;;;;;;;;tdrehen mit Schleifzugabe                                              ;;;;;;;;;;;;;;;23
-149587;POS_TEXTP;2;1;;;;;;;;;;;tinkl. aller Gewinde                                                   ;;;;;;;;;;;;;;;23
-149587;POS_TEXTP;3;1;;;;;;;;;;;"tlinke Seite mit Zentrierung A5x10,6 DIN332                            ";;;;;;;;;;;;;;;23
-149587;POS_TEXTP;4;1;;;;;;;;;;;t(fertigbearbeitung nach dem Schleifen)                                ;;;;;;;;;;;;;;;23
-149587;POS_TEXTP;5;1;;;;;;;;;;;"t100h5 auf 100,5-0,05 drehen fr Bohrvorrichtung                     ";;;;;;;;;;;;;;;23
-149587;POS_TEXTP;6;1;;;;;;;;;;;t--------------------------                                            ;;;;;;;;;;;;;;;23
-149587;POS_TEXTP;7;1;;;;;;;;;;;tProg.Nr: CTX1250-X330-3122-2 1+2SP VDR                                ;;;;;;;;;;;;;;;23
-149587;POS_TEXTP;8;1;;;;;;;;;;;t         CTX510-X330-3122-2 3+4Sp FDR                                 ;;;;;;;;;;;;;;;23
-149587;FUSS_WERTE;1;;1760;;;;;;;;;;AUFTRW;Bestellwert;;;;;;;;;;;;;;23
-149587;FUSS_LIEFD;;;;;;;;;;;;30.08.19;;Liefertermin:      ;;;;;;;;;;;;;;23
-149587;FUSS_ZAHLB;1;;;;;;;;;;;;BBC 60/90 GG FM                                                       ;Zahlungsbedingung: ;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;1;;;;;;;;;;;;t;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;2;;;;;;;;;;;;tZZ Drive Tech GmbH                                                    ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;3;;;;;;;;;;;;t;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;4;;;;;;;;;;;;ti.A.         i.A.             i.A.                                    ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;5;;;;;;;;;;;;tKlaus Korte  Nadine Cordeiro  Michael Batzler                         ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;6;;;;;;;;;;;;t;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;7;;;;;;;;;;;;t;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;8;;;;;;;;;;;;t*****************************************************                 ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;9;;;;;;;;;;;;tWir bitten um eine Auftragsbesttigung innerhalb                      ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;10;;;;;;;;;;;;tvon 3 Arbeitstagen.                                                   ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;11;;;;;;;;;;;;tBei Auftragsbesttigungen und Lieferscheinen immer                    ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;12;;;;;;;;;;;;tunsere Artikelnummern angeben.                                        ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;13;;;;;;;;;;;;tBitte die Ware zum angegebenen Liefertermin anliefern                 ;;;;;;;;;;;;;;;23
-149587;FUSS_TEXTF;14;;;;;;;;;;;;t*****************************************************                 ;;;;;;;;;;;;;;;23
